epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.5301,1.83235,0.65905,0.96661,1.22483,0.067294,0.000164352,0.000164352
2,40.1129,1.12551,0.7768,0.99121,0.64059,0.0341109,0.000314633,0.000314633
3,57.2091,0.74542,0.88313,0.99473,0.35823,0.000911377,0.000448414,0.000448414
4,74.018,0.51707,0.94552,0.99912,0.19203,0.00042575,0.00042575,0.00042575
5,92.4653,0.40118,0.97891,1,0.1124,0.000401,0.000401,0.000401
6,108.897,0.26853,0.98155,0.99912,0.07979,0.00037625,0.00037625,0.00037625
7,125.721,0.24933,0.99209,1,0.06102,0.0003515,0.0003515,0.0003515
8,141.937,0.19207,0.99473,1,0.04136,0.00032675,0.00032675,0.00032675
9,158.267,0.16416,0.99473,1,0.03738,0.000302,0.000302,0.000302
10,174.982,0.14023,0.99736,1,0.0213,0.00027725,0.00027725,0.00027725
11,202.71,0.1221,0.99824,1,0.0169,0.0002525,0.0002525,0.0002525
12,219.248,0.14578,0.99824,1,0.01426,0.00022775,0.00022775,0.00022775
13,235.505,0.09417,0.99736,1,0.00892,0.000203,0.000203,0.000203
14,252.374,0.07617,0.99912,1,0.00705,0.00017825,0.00017825,0.00017825
15,268.241,0.12081,1,1,0.00509,0.0001535,0.0001535,0.0001535
16,284.106,0.0897,1,1,0.00478,0.00012875,0.00012875,0.00012875
17,300.196,0.06625,1,1,0.00469,0.000104,0.000104,0.000104
18,316.568,0.08046,1,1,0.00365,7.925e-05,7.925e-05,7.925e-05
19,332.352,0.07302,1,1,0.00321,5.45e-05,5.45e-05,5.45e-05
20,348.574,0.08625,1,1,0.00309,2.975e-05,2.975e-05,2.975e-05
